,open,close,high,low,volume,money
2017-07-27,6136.96,6184.02,6192.94,6105.96,10400553800.0,121283201419.0
2017-07-28,6170.66,6215.46,6229.06,6165.99,8646787900.0,104848546513.0
2017-07-31,6214.66,6298.0,6299.8,6208.46,11333106600.0,129773218265.0
2017-08-01,6293.06,6286.54,6299.16,6261.28,10108155700.0,116917914719.0
2017-08-02,6289.25,6251.86,6313.51,6248.36,11401201100.0,132732752804.0
2017-08-03,6240.15,6261.97,6288.44,6236.66,10015993900.0,113164040247.0
2017-08-04,6258.85,6225.12,6297.12,6224.2,12588838600.0,140098302354.0
2017-08-07,6227.52,6303.42,6304.27,6217.29,10857231600.0,114075085978.0
2017-08-08,6302.03,6303.72,6322.47,6281.62,12038043700.0,131243284609.0
2017-08-09,6296.11,6340.02,6340.38,6285.02,11534764800.0,123988807118.0
2017-08-10,6322.83,6289.22,6341.48,6246.66,11269947000.0,127938266172.0
2017-08-11,6242.49,6161.19,6275.89,6153.6,11786061600.0,131559160784.0
2017-08-14,6165.13,6292.64,6293.35,6165.13,8984502300.0,113335483019.0
2017-08-15,6291.18,6314.76,6316.2,6283.54,8260366300.0,107585954406.0
2017-08-16,6307.17,6318.8,6323.56,6268.19,8961769800.0,113207847055.0
2017-08-17,6327.03,6366.03,6366.25,6312.89,9872488600.0,119456888913.0
2017-08-18,6324.9,6347.76,6361.97,6313.15,9117455400.0,111490643528.0
2017-08-21,6354.1,6403.78,6404.05,6354.01,8652179500.0,105733629878.0
2017-08-22,6396.93,6375.98,6398.56,6362.41,8910016600.0,116758431356.0
2017-08-23,6359.78,6322.78,6371.3,6310.01,7560985100.0,94213289884.0
2017-08-24,6322.63,6278.59,6329.03,6267.23,6756758600.0,86463516864.0
2017-08-25,6274.35,6346.53,6358.89,6274.35,7554972700.0,94698935464.0
2017-08-28,6348.87,6424.58,6442.4,6348.87,9489340100.0,123347859463.0
2017-08-29,6420.57,6408.16,6439.08,6393.48,8770409700.0,111434485531.0
2017-08-30,6405.9,6453.46,6462.76,6405.9,9555966100.0,115513787287.0
2017-08-31,6451.52,6470.43,6470.94,6429.74,9102916900.0,110910641361.0
2017-09-01,6472.95,6526.5,6530.9,6466.13,12111719200.0,140862432142.0
2017-09-04,6530.51,6564.68,6566.1,6519.79,11998402500.0,143876861352.0
2017-09-05,6561.67,6571.86,6576.56,6528.11,9523207700.0,120125205055.0
2017-09-06,6550.06,6607.12,6610.75,6540.83,10547823300.0,136238488046.0
2017-09-07,6601.34,6558.6,6614.1,6553.7,10706180700.0,133940730900.0
2017-09-08,6554.6,6574.18,6599.13,6537.04,9385159300.0,120912386810.0
2017-09-11,6579.89,6649.63,6650.12,6566.28,10254740000.0,134674487525.6
2017-09-12,6659.8,6644.01,6715.39,6628.88,14188027500.0,190294359591.0
2017-09-13,6635.17,6684.38,6684.86,6630.5,10472243700.0,136521604484.0
2017-09-14,6683.47,6672.18,6701.69,6643.59,11396678200.0,145426308339.0
2017-09-15,6661.52,6622.04,6663.51,6603.73,10938423400.0,134077144216.0
2017-09-18,6616.13,6669.45,6669.45,6616.13,8885059700.0,110670656817.0
2017-09-19,6670.97,6636.02,6681.25,6611.75,9351872100.0,117508671750.0
2017-09-20,6627.69,6692.47,6692.71,6613.66,10197248600.0,126534090097.0
2017-09-21,6684.65,6612.05,6687.12,6612.05,9893749300.0,121143624354.0
2017-09-22,6591.15,6572.01,6592.88,6547.28,8523646900.0,103274189389.0
2017-09-25,6560.14,6489.84,6568.0,6484.21,7782925000.0,97438346165.0
2017-09-26,6484.34,6520.72,6520.72,6482.29,6776594500.0,82514551821.0
2017-09-27,6523.5,6583.14,6589.74,6522.2,7517127200.0,94752430763.0
2017-09-28,6577.43,6567.79,6599.13,6565.88,7462589200.0,94419077217.0
2017-09-29,6572.45,6603.26,6611.65,6572.45,7093629400.0,91769780478.0
2017-10-09,6682.58,6678.37,6696.67,6657.53,8641966900.0,110668639557.0
2017-10-10,6677.37,6705.48,6705.72,6658.86,8700518600.0,111479285756.0
2017-10-11,6702.69,6666.47,6703.58,6661.09,9074605300.0,120911021266.0
2017-10-12,6658.13,6659.1,6674.38,6611.97,7796096200.0,99226610301.0
2017-10-13,6660.03,6709.82,6711.93,6659.88,7292562100.0,94892307593.0
2017-10-16,6709.87,6619.21,6709.87,6609.62,8587104800.0,109216606951.0
2017-10-17,6604.33,6612.94,6644.75,6589.54,5941924700.0,78773100832.0
2017-10-18,6612.49,6563.44,6630.67,6557.66,7337096600.0,88963265926.0
2017-10-19,6553.87,6501.4,6562.35,6494.73,7261579000.0,85253455867.0
2017-10-20,6489.79,6571.42,6571.44,6485.81,6047931600.0,77533389311.0
2017-10-23,6569.79,6612.76,6613.03,6562.91,6048195300.0,79350010217.0
2017-10-24,6605.52,6603.0,6605.9,6556.34,5917131400.0,78606997172.0
2017-10-25,6596.79,6647.89,6648.39,6593.07,5864690200.0,80183428258.0
2017-10-26,6639.89,6671.93,6686.12,6630.97,7490589400.0,104752208937.0
2017-10-27,6664.43,6630.81,6673.47,6622.12,6792114100.0,90443686927.0
2017-10-30,6621.78,6511.76,6629.3,6460.05,8376417500.0,109249594174.0
2017-10-31,6496.69,6560.21,6560.25,6496.69,6226143600.0,88141843094.0
2017-11-01,6559.52,6552.95,6586.13,6547.85,6463277600.0,92988635163.0
2017-11-02,6541.61,6484.93,6541.61,6476.37,6755234700.0,90871972558.0
2017-11-03,6477.82,6426.98,6491.05,6395.46,6825710200.0,89315916521.0
2017-11-06,6432.07,6511.1,6512.13,6408.36,6671760000.0,93924410675.0
2017-11-07,6508.21,6551.94,6552.26,6498.39,7237767400.0,97329814711.0
2017-11-08,6544.59,6561.69,6601.47,6534.16,7380679800.0,101625899478.0
2017-11-09,6562.36,6611.35,6611.39,6558.49,6881846600.0,93514199765.0
2017-11-10,6599.65,6641.22,6647.23,6593.03,8001249700.0,112205348031.0
2017-11-13,6644.69,6671.21,6671.26,6624.67,8459671200.0,122270419658.0
2017-11-14,6664.61,6614.51,6673.75,6588.25,8474906100.0,120407808369.0
2017-11-15,6592.76,6537.66,6603.51,6505.99,7394918100.0,107724900824.0
2017-11-16,6529.31,6558.31,6570.28,6511.9,6794015900.0,97928408033.0
2017-11-17,6549.22,6361.94,6555.75,6359.52,8901897200.0,115827869491.0
2017-11-20,6330.9,6433.17,6433.78,6239.32,7006670500.0,95164685557.0
2017-11-21,6420.39,6456.35,6473.7,6397.36,6775458000.0,97778880445.0
2017-11-22,6456.32,6439.44,6483.63,6391.46,7089592400.0,99818243008.0
2017-11-23,6427.58,6274.51,6427.58,6274.51,7500973200.0,104105221545.0
2017-11-24,6250.06,6278.03,6307.89,6243.96,5904905600.0,82258346140.0
